,solar_multiple,stg_cap,stg_heat_stored,pb_energy_dispatched,sf_cf,pb_cf,revenue_tot,revenue_daily,sf_time_operation,pb_time_operation,stg_min_stored,stg_max_stored,lcoh,lcoe,pb_cost,cost_capital,roi,payback_period,npv,date_simulation
0,1.0,4.0,39375.798185341264,17630.548033983676,0.1195466524134766,0.10592734939908481,1926120.3743615842,5277.042121538587,1079.170918367347,445.0765306122449,0.0,255.8566861560567,43.68873776981403,204.19288107879197,817.1174382099864,8376.430842867532,-0.9539668312593118,1440.9837642901775,-79.90837188433106,1766768354.2331696
1,1.0,6.0,39375.798185341264,17630.548033983676,0.1195466524134766,0.10592734939908481,1926120.3743615842,5277.042121538587,1079.170918367347,445.0765306122449,0.0,255.8566861560567,48.126275001206025,214.20904260803837,817.1174382099864,8787.315316006185,-0.9704952404357725,2269.5498684752033,-85.28047690392368,1766768370.865031
2,1.0,8.0,39375.798185341264,17630.548033983676,0.1195466524134766,0.10592734939908481,1926120.3743615842,5277.042121538587,1079.170918367347,445.0765306122449,0.0,255.8566861560567,52.36305546165739,223.77206715138948,817.1174382099864,9179.61113607993,-0.9848951488341218,3030.0,-90.40954476108804,1766768371.3630636
3,1.0,10.0,39375.798185341264,17630.548033983676,0.1195466524134766,0.10592734939908481,1926120.3743615842,5277.042121538587,1079.170918367347,445.0765306122449,0.0,255.8566861560567,56.465458864896256,233.031783296257,817.1174382099864,9559.464593763096,-0.9977121013165461,3030.0,-95.37593507304501,1766768371.8632216
4,1.0,12.0,39375.798185341264,17630.548033983676,0.1195466524134766,0.10592734939908481,1926120.3743615842,5277.042121538587,1079.170918367347,445.0765306122449,0.0,255.8566861560567,60.468973907165264,242.06829414837108,817.1174382099864,9930.161690614126,-1.0092747102971604,30.0,-100.22261063498533,1766768372.3433082
5,1.0,14.0,39375.798185341264,17630.548033983676,0.1195466524134766,0.10592734939908481,1926120.3743615842,5277.042121538587,1079.170918367347,445.0765306122449,0.0,255.8566861560567,64.39537196327272,250.9307408406223,817.1174382099864,10293.71830152064,-1.0198057194539207,30.0,-104.97592798338246,1766768372.8229632
6,1.0,16.0,39375.798185341264,17630.548033983676,0.1195466524134766,0.10592734939908481,1926120.3743615842,5277.042121538587,1079.170918367347,445.0765306122449,0.0,255.8566861560567,68.25921810829061,259.65199884807697,817.1174382099864,10651.483049127386,-1.029467156508118,30.0,-109.65351967179589,1766768373.2930546
7,1.1,4.0,39375.798185341264,17301.421269138413,0.1195466524134766,0.11434488942593282,1872516.1644801379,5130.181272548323,1079.170918367347,480.4591836734694,0.0,255.8566861560567,42.82381955163716,199.65079992169822,847.4099192422498,8037.212175336197,-0.9493004186648524,1304.8499476797151,-76.297288829449,1766768373.8020198
8,1.1,6.0,39375.798185341264,17301.421269138413,0.1195466524134766,0.11434488942593282,1872516.1644801379,5130.181272548323,1079.170918367347,480.4591836734694,0.0,255.8566861560567,46.9109817261096,209.05160854743445,847.4099192422498,8415.654403338316,-0.9654059463341947,1930.0644470030907,-81.24522803276359,1766768374.3451462
9,1.1,8.0,39375.798185341264,17301.421269138413,0.1195466524134766,0.11434488942593282,1872516.1644801379,5130.181272548323,1079.170918367347,480.4591836734694,0.0,255.8566861560567,50.809872603382544,218.01937772938598,847.4099192422498,8776.664044587204,-0.9794751697751914,3030.0,-85.9652450513187,1766768374.8331213
10,1.1,10.0,39375.798185341264,17301.421269138413,0.1195466524134766,0.11434488942593282,1872516.1644801379,5130.181272548323,1079.170918367347,480.4591836734694,0.0,255.8566861560567,54.58273577401381,226.6972728370767,847.4099192422498,9126.004414088233,-0.9920298981111936,3030.0,-90.53269229070253,1766768375.3089185
11,1.1,12.0,39375.798185341264,17301.421269138413,0.1195466524134766,0.11434488942593282,1872516.1644801379,5130.181272548323,1079.170918367347,480.4591836734694,0.0,255.8566861560567,58.262850870281014,235.16183975756022,847.4099192422498,9466.756969745107,-1.003383297423478,30.0,-94.98785824209537,1766768375.785036
12,1.1,14.0,39375.798185341264,17301.421269138413,0.1195466524134766,0.11434488942593282,1872516.1644801379,5130.181272548323,1079.170918367347,480.4591836734694,0.0,255.8566861560567,61.870635041898154,243.46003961176854,847.4099192422498,9800.812194806933,-1.013747208245309,30.0,-99.35546001022108,1766768376.3731205
13,1.1,16.0,39375.798185341264,17301.421269138413,0.1195466524134766,0.11434488942593282,1872516.1644801379,5130.181272548323,1079.170918367347,480.4591836734694,0.0,255.8566861560567,65.41974788833323,251.62329060016,847.4099192422498,10129.434871299873,-1.0232755853830902,30.0,-103.65203397529264,1766768377.0948699
14,1.2000000000000002,4.0,39375.798185341264,17519.217707629978,0.1195466524134766,0.12631014929798112,1870376.5929523879,5124.319432746269,1074.4306742622646,530.7397959183673,-1.0658141036401503e-14,253.3333333333333,42.0941581461299,190.08770263201023,876.4404483012722,7748.56587414075,-0.93638328987202,1032.172181602704,-72.5562760501798,1766768377.8531077
15,1.2000000000000002,6.0,39375.798185341264,17519.217707629978,0.1195466524134766,0.12631014929798112,1870376.5929523879,5124.319432746269,1079.170918367347,530.7397959183673,0.0,255.8566861560567,45.886545262393874,198.70206377891967,876.4404483012722,8099.71402252826,-0.952470159592468,1394.4100144842687,-77.14735907690843,1766768378.8682146
16,1.2000000000000002,8.0,39375.798185341264,17519.217707629978,0.1195466524134766,0.12631014929798112,1870376.5929523879,5124.319432746269,1079.170918367347,530.7397959183673,0.0,255.8566861560567,49.50136304932203,206.91307835686905,876.4404483012722,8434.420510479978,-0.9665569279361184,1997.8007450974821,-81.52347577530915,1766768379.5301595
