,fzv,Cg,eta_cos,eta_blk,eta_att,eta_hbi,eta_tdi,eta_tdr,eta_TOD,eta_BDR,eta_SF,Pel_real,N_hel,S_hel,S_HB,S_TOD,H_TOD,rO,Q_max,status
0,0.78,1.5,0.7822443796750044,0.9823503346398136,0.9740257860943089,0.9498730929082135,0.9967693832480315,0.9663696433430116,0.9632456957293367,0.8695566567422714,0.6188966207891138,10.002944640742276,5601.0,47756.36639999999,1775.5634587178351,148.32949038718226,2.701053890945616,2.3242434859306877,1706.1603202604113,OK
1,0.78,2.0,0.7809790902935643,0.9827250421107947,0.9738133188717671,0.9499483692849331,0.9989031700355809,0.9451378447997502,0.944112756594162,0.852538569586753,0.6060479613448405,10.00339008710529,5720.0,48771.007999999994,1798.834516882602,323.0691998618054,5.402107781891237,2.3242434859306877,1085.170498371455,OK
2,0.78,3.0,0.7589655342251925,0.9862496881052015,0.9667927882898093,0.9501136491215825,0.9958667791652521,0.5437655054903501,0.5424427808288734,0.5002457273036496,0.3495921236707146,10.001260403197417,9914.0,84530.72959999999,2559.8697248330736,738.8230010473135,10.80421556378247,2.3242434859306877,1114.641038331825,OK
3,0.78,4.0,0.7655591091039965,0.9858290917318824,0.9682370287173195,0.9476030496065667,0.997901315613539,0.27578664214717097,0.27576945959700594,0.26083676929984057,0.19439321336309037,4.35496594578025,9673.0,82475.8672,2636.4784801970227,1229.857403592764,16.206323345673706,2.3242434859306877,424.99437009276215,OK
4,0.8,1.5,0.786026785897389,0.9825834130779203,0.974226493816873,0.9497181097869573,0.994850766910292,0.9691815475777762,0.9641845126357304,0.8704132064476684,0.6229648567361648,10.003981902446565,5565.0,47449.41599999999,1378.3911597356787,148.32949038718226,2.701053890945616,2.3242434859306877,2134.335541428191,OK
5,0.8,2.0,0.7853830072067057,0.9826920554328951,0.9740960126177729,0.9497640720244859,0.9981291859790334,0.9530786211587026,0.9513061568262845,0.8587717547669036,0.6141383798222884,10.004015740658518,5645.0,48131.52799999999,1389.5083779504198,323.0691998618054,5.402107781891237,2.3242434859306877,1272.0546950976736,OK
6,0.8,3.0,0.7807690813702134,0.9837453536644253,0.9732676789317855,0.9496672360899896,0.9995311611837061,0.8698928973091764,0.8695341752399328,0.7893288542569453,0.5623738076065075,10.003037492549666,6164.0,52556.72959999999,1487.8129673338278,738.8230010473135,10.80421556378247,2.3242434859306877,1142.338567570374,OK
7,0.8,4.0,0.7440374759235602,0.981777757045584,0.9593653301413372,0.9473110294088807,0.983491370987962,0.360752670731983,0.35845167590822946,0.33355966669035464,0.2347218597267069,9.711482211798875,15875.0,135356.59999999998,2473.2094497939775,1229.857403592764,16.206323345673706,2.3242434859306877,787.4387704295069,OK
8,0.8200000000000001,1.5,0.7897896490286435,0.9833787591818699,0.9743531569145034,0.9496130731382112,0.990598159134992,0.9721081946194063,0.962954565248515,0.8695702211339765,0.6260810540863588,10.00343757798924,5537.0,47210.676799999994,1065.7147775329142,148.32949038718226,2.701053890945616,2.3242434859306877,2544.66907076855,OK
9,0.8200000000000001,2.0,0.789369596555297,0.9835083635946501,0.9742610788200776,0.9496733649959301,0.9963537128775287,0.9580048780663115,0.9545197249353292,0.8616550110440548,0.6199821577740187,10.002599144549968,5591.0,47671.102399999996,1071.7875331804837,323.0691998618054,5.402107781891237,2.3242434859306877,1121.9201706336016,OK
10,0.8200000000000001,3.0,0.7875978662429114,0.9834216475088425,0.9739250886377788,0.9497392168880974,0.99921308142333,0.9238931833945799,0.9231779637061953,0.8336426874897169,0.5984086151159139,10.003351905505982,5793.0,49393.43519999999,1092.5737297147657,738.8230010473135,10.80421556378247,2.3242434859306877,1011.4591254605986,OK
11,0.8200000000000001,4.0,0.7807542580033732,0.984462601735646,0.9726193006779477,0.9495897200963704,0.9995480058810322,0.8080450784284057,0.8077478316086719,0.7355539948424038,0.525242447121621,10.00189119113558,6599.0,56265.713599999995,1194.2298761796417,1229.857403592764,16.206323345673706,2.3242434859306877,1015.0714195527607,OK
12,0.8400000000000001,1.5,0.7941279622142191,0.9848629960761627,0.9744833891360786,0.9496656838427098,0.982123398506152,0.9750104101986529,0.9575548898103394,0.8653801452671366,0.6277250094276184,10.004344915729192,5523.0,47091.307199999996,814.4342010063259,148.32949038718226,2.701053890945616,2.3242434859306877,3051.6811380019985,OK
13,0.8400000000000001,2.0,0.794173446478593,0.9849931471299661,0.9744351322806668,0.9498257010853979,0.9922235569161415,0.9616251232178329,0.95415037326979,0.8617824846613201,0.6249029948631046,10.004450497265383,5548.0,47304.46719999999,817.2262470430554,323.0691998618054,5.402107781891237,2.3242434859306877,1330.1584954064278,OK
14,0.8400000000000001,3.0,0.7922351007526726,0.9848267418884363,0.9740825732530366,0.9498042449719362,0.9979161386684823,0.9361044812968415,0.9341727215100478,0.8435549335462005,0.6098733534612377,10.003175977909743,5684.0,48464.05759999999,815.1435257159247,738.8230010473135,10.80421556378247,2.3242434859306877,859.9273575776457,OK
15,0.8400000000000001,4.0,0.7914120844053936,0.9846512974032602,0.9739172035641522,0.9497829906445651,0.9993191901571445,0.9061314374405091,0.9055308891493429,0.8182137152231197,0.5910714249699567,10.00350426824829,5865.0,50007.335999999996,841.2181302646997,1229.857403592764,16.206323345673706,2.3242434859306877,1088.553254335506,OK
