,T_htf_hot_des,part_load_od,T_amb_od,T_amb_des,m_dot_htf_des,cycle_cost,cycle_spec_cost,LTR_UA_calculated,HTR_UA_calculated,NTU_LTR,NTU_HTR,UA_PHX,eff_PHX,NTU_PHX,q_dot_PHX,mc_cooler_P_in,mc_cooler_UA,recomp_frac_od,T_mc_in_od,T_htf_cold_od,m_dot_co2_full_od,W_dot_net_od,Q_dot_od,W_dot_net_less_cooling_od,eta_thermal_od,eta_thermal_net_less_cooling_od,mc_W_dot_od,mc_eta_od,rc_W_dot_od,rc_T_in_od,rc_eta_od,t_W_dot_od,t_eta_od,t_m_dot_od,t_T_out_od,eff_LTR_od,eff_HTR_od,T_co2_PHX_in_od,T_co2_PHX_out_od,deltaT_HTF_PHX_od,phx_eff_od,mc_cooler_W_dot_fan_od,mc_cooler_T_in_od
0,950.0,1.0,5.0,35.0,94.46167108972043,16.574959042045634,1624.9959845142778,0.5978952035360685,0.9237455608944345,7.171938321734689,12.294715825774547,0.9821309680574474,0.9101340810398081,10.093457943924628,19.303177847766644,9.146117565341795,0.5967547628127708,0.22764757858037046,33.29018225204351,747.5859428201312,69.02733996935335,10.470981440500935,19.281717608428696,10.467787433291907,0.5430523179078046,0.542886668390791,1.7082975247346857,0.8477071905779318,1.252648680104978,91.88943670646728,0.8422198994753048,13.42946099396992,0.8991055914679451,69.02733996935335,782.5535272726239,0.9430009963400247,0.9514172173760472,719.3677947008529,935.414196718768,202.4140571798688,0.9363718112914653,0.003194007209028911,91.88943670646728
1,950.0,1.0,10.0,35.0,94.46167108972043,16.574959042045634,1624.9959845142778,0.5978952035360685,0.9237455608944345,7.171938321734689,12.294715825774547,0.9821309680574474,0.9101340810398081,10.093457943924628,19.303177847766644,9.146117565341795,0.5967547628127708,0.227697721504189,33.299292859823936,747.5819961150471,69.03371772262331,10.470979693856126,19.282115040508025,10.464932850464873,0.543041034236058,0.54272743568224,1.7084032633968451,0.8477136892623045,1.25297645855322,91.90381373428716,0.8422397515244966,13.429894378873538,0.8991073965640792,69.03371772262331,782.5555597868591,0.9429518171824558,0.9514070985095358,719.3766121010204,935.4068578275943,202.4180038849529,0.9363361902365692,0.006046843391252849,91.90381373428716
2,950.0,1.0,15.0,35.0,94.46167108972043,16.574959042045634,1624.9959845142778,0.5978952035360685,0.9237455608944345,7.171938321734689,12.294715825774547,0.9821309680574474,0.9101340810398081,10.093457943924628,19.303177847766644,9.146117565341795,0.5967547628127708,0.22692437533457469,33.15559638821958,747.6579937894893,68.93042518807799,10.470345466136733,19.27476113732282,10.456923864782283,0.543215316212786,0.5425189858531603,1.7066278661458352,0.8476100790672967,1.2478335849148339,91.67992955862235,0.8419305211172472,13.422316230101002,0.8990791802160469,68.93042518807799,782.5321407355301,0.9437202136725621,0.9515655832942901,719.2470907981643,935.5287329103254,202.3420062105107,0.9369110916952881,0.013421601354449147,91.67992955862235
3,950.0,1.0,20.0,35.0,94.46167108972043,16.574959042045634,1624.9959845142778,0.5978952035360685,0.9237455608944345,7.171938321734689,12.294715825774547,0.9821309680574474,0.9101340810398081,10.093457943924628,19.303177847766644,9.146117565341795,0.5967547628127708,0.22835036967873437,33.430486514986114,747.4634964532412,69.13703259975257,10.473696226696841,19.29325080617103,10.436299757125107,0.5428684015939286,0.5409300828550371,1.7103501621606614,0.8478049790782729,1.2576191661103262,92.09729150573605,0.8424941408830606,13.43922190424594,0.8991312829999334,69.13703259975257,782.5514544987217,0.942264143461779,0.9512783913057501,719.4555760488478,935.2785422055973,202.5365035467588,0.9357593102929226,0.03739646957173364,92.09729150573605
4,950.0,1.0,25.0,35.0,94.46167108972043,16.574959042045634,1624.9959845142778,0.5978952035360685,0.9237455608944345,7.171938321734689,12.294715825774547,0.9821309680574474,0.9101340810398081,10.093457943924628,19.303177847766644,9.146117565341795,0.5967547628127708,0.23215037866031912,33.811086283485565,748.401481217803,69.20816137798336,10.42448114801476,19.21217802738658,10.302575982070358,0.542597571871074,0.5362523690642591,1.7065122325113438,0.8481014158423134,1.2758538711869674,93.00509958704669,0.843970512301321,13.404478280840266,0.8992350021489237,69.20816137798336,783.1943470127268,0.9395369267134913,0.9505820556090313,720.6861514147117,935.348624165065,201.59851878219695,0.9353242455438917,0.12190516594440093,93.00509958704669
5,950.0,1.0,30.0,35.0,94.46167108972043,16.574959042045634,1624.9959845142778,0.5978952035360685,0.9237455608944345,7.171938321734689,12.294715825774547,0.9821309680574474,0.9101340810398081,10.093457943924628,19.303177847766644,9.146117565341795,0.5967547628127708,0.25779882803054704,39.00524947264222,747.7971266043143,72.31397793306961,10.272618651321242,19.2681288584339,10.188430410142296,0.5331404376001351,0.5287711373013105,1.7516328764991214,0.8498661133510161,1.4421650661473087,101.95915872677341,0.8493742144833917,13.462724376778315,0.8999386219427555,72.31397793306961,785.4234902507873,0.9082210464796168,0.9461868143474848,725.8480322319083,931.553984076227,202.20287339568574,0.9168458325317924,0.0841882411789464,101.95915872677341
6,950.0,1.0,35.0,35.0,94.46167108972043,16.574959042045634,1624.9959845142778,0.5978952035360685,0.9237455608944345,7.171938321734689,12.294715825774547,0.9821309680574474,0.9101340810398081,10.093457943924628,19.303177847766644,9.146117565341795,0.5967547628127708,0.2672588348388671,41.03584225224347,747.9937553990218,73.43012027682248,10.170748402053999,19.250842220737884,9.971759909057583,0.5283274511022487,0.5179908387756432,1.7654639524049356,0.8499991527994571,1.5056918425125478,105.80048776507988,0.8499481540024436,13.43245664270587,0.8999994319557564,73.43012027682248,786.5680836094585,0.8956170567192464,0.9447803683065427,727.8830770011596,930.1547971361887,202.00624460097822,0.9096707274608873,0.1989884929964156,105.80048776507988
7,950.0,1.0,40.0,35.0,94.46167108972043,16.574959042045634,1624.9959845142778,0.5978952035360685,0.9237455608944345,7.171938321734689,12.294715825774547,0.9821309680574474,0.9101340810398081,10.093457943924628,19.303177847766644,9.146117565341795,0.5967547628127708,0.28632874348293946,44.434273544741984,761.4081969457442,71.65135455587476,9.312420098897535,17.967309866697324,9.108942154641595,0.5182979626882399,0.5069730650955797,1.685915766093079,0.8499228377095164,1.5433640468894612,115.32440954439807,0.8489484350367837,12.535743328341288,0.8994656770707322,71.65135455587476,796.3369343003573,0.923276983240634,0.9417769567795081,740.0896687309577,933.3876283332812,188.59180305425582,0.9202971440883079,0.20347794425594007,115.32440954439807
8,950.0,1.0,45.0,35.0,94.46167108972043,16.574959042045634,1624.9959845142778,0.5978952035360685,0.9237455608944345,7.171938321734689,12.294715825774547,0.9821309680574474,0.9101340810398081,10.093457943924628,19.303177847766644,9.146117565341795,0.5967547628127708,0.3043759687299591,48.22442698286437,773.3132105251576,70.05246222100241,8.507948537997136,16.827998156353168,8.305445580551616,0.505582925488085,0.49354923285489044,1.6138304110121355,0.8496816633052752,1.5787323965701894,125.75606962549489,0.845447632187454,11.692147062798094,0.8978443944139478,70.05246222100241,805.4126908074198,0.9427372411906167,0.9394930289233371,750.945032438318,935.9668644113555,176.68678947484239,0.9293502319771905,0.2025029574455199,125.75606962549489
9,950.0,1.0,50.0,35.0,94.46167108972043,16.574959042045634,1624.9959845142778,0.5978952035360685,0.9237455608944345,7.171938321734689,12.294715825774547,0.9821309680574474,0.9101340810398081,10.093457943924628,19.303177847766644,9.146117565341795,0.5967547628127708,0.3194975779450477,52.270610806140326,784.4251570779567,68.43584622883678,7.7571396775390715,15.779031310259107,7.553917497565493,0.49161063977961594,0.4787313840143112,1.5476995826337216,0.8493782797666651,1.5957969263166758,136.14717002205003,0.840564144498216,10.8922716022906,0.8951151094286427,68.43584622883678,814.0857607428676,0.9560454091725595,0.9377524703908128,760.9315422787798,938.3894686613718,165.57484292204333,0.938008016228301,0.20322217997357814,136.14717002205003
