,lat,alt,azi,rO,eta_cos,eta_blk,eta_att,eta_hbi,eta_tdi,eta_tdr,eta_BDR,eta_SF,Qmax_BDR,Qmax,eta_rcv,Prcv_abs
0,-25.0,10.0,0.0,1.3180947584040918,0.7381586164636477,0.9932494122193232,0.9741090361834476,0.9978904415910844,0.9071084230245164,0.9688123676542316,0.8334716954245888,0.5615631063733638,3183.1155949448,2.6909042693480387,0.8324215571855704,18.78704498194689
1,-25.0,10.0,5.0,1.3180947584040918,0.73748052187545,0.9932740582928298,0.9741089466316408,0.9978717944724672,0.9068659564046998,0.9688599417123088,0.8332823019922142,0.5609638686928747,2892.454036394264,2.428962212296417,0.835396005278111,18.85417573994884
2,-25.0,10.0,10.0,1.3180947584040918,0.7367311315015209,0.9936609002759996,0.9741092634817096,0.9979311306653882,0.9061520114647272,0.9685972994303476,0.832448139207349,0.5599845285159453,2940.163241895012,2.42253315083681,0.8295782508985795,18.72287398270973
3,-25.0,10.0,15.0,1.3180947584040918,0.7348144045158008,0.9936456105640454,0.9741089184510752,0.997997791446176,0.9043436370068624,0.968514610561232,0.8307637149435937,0.5580770168409488,2877.6577854506777,2.4051193450247688,0.8342163231690061,18.827551320318133
4,-25.0,10.0,20.0,1.3180947584040918,0.7324906303092309,0.993722479427834,0.9741091561197414,0.9979741744805152,0.9039011587372812,0.9685186988478236,0.8303301983014215,0.5565593172013891,2812.5063112922494,2.5153728532203963,0.8312852597270206,18.76139971689775
5,-25.0,10.0,25.0,1.3180947584040918,0.7292834711838567,0.9934265104616428,0.9741091454248304,0.9979138332222008,0.9031319794532224,0.9686554173210482,0.8296801950993482,0.5534182208182763,2969.4684328462954,2.4632006859591384,0.828375007485952,18.6957178045424
6,-25.0,10.0,30.0,1.3180947584040918,0.7255574986381206,0.9936219378551648,0.974109258838356,0.9979766293393052,0.9021897432689514,0.9684654581007132,0.8286913363447234,0.551287121268091,3081.035243981578,2.5157201138311494,0.8313643477808491,18.76318466685728
7,-25.0,10.0,45.0,1.3180947584040918,0.7113032078083513,0.993990380333982,0.9741088703004648,0.9978240932264664,0.8996989628443426,0.9685201208202208,0.8263312726493237,0.541777355634504,2866.39842492258,2.604063496668864,0.8357074968200281,18.861205838531674
8,-25.0,10.0,60.0,1.3180947584040918,0.6925758961674208,0.993634745739137,0.974108923738896,0.997920400730018,0.8979362897470288,0.9685519120579148,0.8248299159721039,0.5289791747524406,2862.840781821342,2.5446667464005475,0.8355630165501969,18.857945041997883
9,-25.0,10.0,75.0,1.3180947584040918,0.6712281660539291,0.993891456502455,0.9741093906391952,0.9976455204941496,0.8954476919090055,0.9687019901884288,0.8224633850702222,0.5160533055887805,2875.8468825964005,2.593080197995663,0.8363510807822264,18.87573097996165
10,-25.0,10.0,90.0,1.3180947584040918,0.6487951989121146,0.9939411598838,0.9741094283778148,0.997423600879784,0.892082683165485,0.9685826236134912,0.8191680753538161,0.5016893382899842,2791.2791541099023,2.6012560604055204,0.8436711110257779,19.04093782289803
11,-25.0,10.0,105.0,1.3180947584040918,0.6265612358930984,0.9940184044106796,0.9741101378040852,0.997156144842628,0.8870876005632274,0.968423799496086,0.8143049420431601,0.4855273428863331,2810.053230780452,2.83503380019277,0.8398762581937491,18.95529122924632
12,-25.0,10.0,120.0,1.3180947584040918,0.6060422172778039,0.993793871773373,0.974110119422238,0.996669632479312,0.8828680168955292,0.9682786069977444,0.810020827562906,0.4702769399160975,2753.427841156102,2.742346040425369,0.8436794433283418,19.041125875864363
13,-25.0,20.0,0.0,1.3180947584040918,0.7615520615476251,0.9914824953597232,0.9741008603683264,0.9979785720950816,0.9144066412564108,0.96863360443409,0.8401162115784575,0.5709368009534682,3047.98651524985,2.420387125355549,0.8302813604836302,18.7387425667073
14,-25.0,20.0,5.0,1.3180947584040918,0.7610714767421969,0.9915050005762508,0.9741010811071898,0.9979679678610576,0.9146399529102676,0.968504876889264,0.8402272642332069,0.5695406474141235,3031.6008782281247,2.381948529585267,0.833098185166228,18.80231589870647
15,-25.0,20.0,10.0,1.3180947584040918,0.7596915964421093,0.9915210538163814,0.974100807707994,0.9980308915673822,0.9145868739699724,0.9685655473837652,0.8402599606258805,0.566920351417017,2951.5536443434094,2.520891716770904,0.8306921267466736,18.74801321112328
16,-25.0,20.0,15.0,1.3180947584040918,0.758152317680863,0.9914504500447228,0.9741008662318976,0.9979743794869758,0.9141098751918378,0.9685316843253664,0.8397430488515149,0.5655940069372277,2928.3500283328467,2.4585827871108688,0.8336213117892785,18.814122420670813
17,-25.0,20.0,20.0,1.3180947584040918,0.7559658867130501,0.9917103752242136,0.9741008705511566,0.998149175119386,0.9137653784102846,0.9684501807170204,0.8395113869389477,0.5640107509895279,3101.683711861543,2.375066258848794,0.8382480696693149,18.9185444021326
18,-25.0,20.0,25.0,1.3180947584040918,0.753178563288586,0.9916279726133872,0.9741009803482956,0.9980419607304116,0.9126585588345788,0.9684411430541354,0.8383942033051053,0.5607968049297545,3019.834956094593,2.5433478282039426,0.8391455787508575,18.938800417058083
19,-25.0,20.0,30.0,1.3180947584040918,0.7500690388681364,0.9914922289740256,0.9741008234569266,0.9979429477012004,0.9127714428789244,0.9683489180835272,0.8383246934074414,0.5591057408603128,3083.592219835031,2.4031479672989966,0.8341665663477627,18.82642835127584
20,-25.0,20.0,45.0,1.3180947584040918,0.7368409212934988,0.9918394635356808,0.974100534985376,0.9979738179954104,0.9094869450867488,0.9683369797308404,0.8353107300653958,0.5485505274201374,3076.025482538342,2.38399421996413,0.8325151258360378,18.78915674662917
