,P_el,T_htf_hot_des,T_amb_des,W_dot_net_des,eta_thermal_calc,m_dot_htf_des,cycle_cost,cycle_spec_cost,cycle_spec_cost_thermal,W_dot_net_less_cooling,eta_thermal_net_less_cooling_des,mc_W_dot,mc_cost,rc_W_dot,rc_cost,c_tot_cost,c_tot_W_dot,t_W_dot,t_cost,LTR_UA_calculated,recup_total_UA_calculated,recup_total_cost,LTR_cost,HTR_UA_calculated,HTR_cost,NTU_LTR,NTU_HTR,UA_PHX,eff_PHX,q_dot_PHX,PHX_cost,mc_cooler_P_in,mc_cooler_T_in,mc_cooler_UA,mc_cooler_cost,mc_cooler_W_dot_fan,cooler_tot_cost,cooler_tot_UA,T_turb_in,t_T_out_des,HTR_LP_T_out_des,T_co2_PHX_in,eta_pb,T_pH,C_pb,cycle_spec_cost_Sandia
0,1.0,1000.0,35.0,1.02,0.5393206674673222,8.964742317021317,2.45685125644907,2408.677702401049,1299.0496661725897,0.9996,0.5285342541179757,0.1731093735448797,0.3973400388669494,0.1427456099747275,0.3414209413275502,0.7387609801944997,0.3158549835196073,1.3358549835196074,1.0719683944972698,0.0551781718471755,0.1453245355716837,0.1816556694646046,0.0689727148089694,0.0901463637245081,0.1126829546556352,7.215690052401728,12.634832452601309,0.0961990244527733,0.91270709271524,1.89126814811302,0.3366965855847068,9.081445489421624,108.76918695960283,0.0555520116121691,0.127769626707989,0.0204,0.127769626707989,0.0555520116121691,980.0,830.6850062543348,275.65865987053417,770.8863111322765,0.5285342541179757,1000.0,2.45685125644907,6058.449485807752
1,1.0,975.0,35.0,1.02,0.5339846234141611,9.194974510842188,2.4870271751303616,2438.261936402316,1301.9943818948734,0.9996,0.5233049309458779,0.1764135159469462,0.4032928240146884,0.1474265378481175,0.3501960951360495,0.7534889191507379,0.3238400537950637,1.3438400537950637,1.0763484080006005,0.0571225379655605,0.1484465651317963,0.1855582064147454,0.0714031724569506,0.0913240271662358,0.1141550339577947,7.206094552547435,12.47780453532188,0.0971785346950202,0.911471141919416,1.9101673630195208,0.3401248714325707,9.093704664530764,107.93687252497944,0.057176856579003,0.1315067701317071,0.0204,0.1315067701317071,0.057176856579003,955.0,808.1440233790378,271.0438826032887,749.0849658108684,0.5233049309458779,975.0,2.4870271751303616,5588.726874570554
2,1.0,950.0,35.0,1.02,0.5284104037398256,9.446167108971991,2.510045973533548,2460.829385817204,1300.3278492944958,0.9996,0.5178421956650291,0.1768400210683666,0.4040594784048645,0.1507455041942023,0.3563819042712371,0.7604413826761016,0.3275855252625689,1.347585525262569,1.0784000610365974,0.0597895203536065,0.1521640764430502,0.1902050955538128,0.0747369004420081,0.0923745560894437,0.1154681951118046,7.17193832173462,12.294715825774505,0.0982130968057424,0.9101340810398088,1.9303177847766588,0.3437458388200985,9.146117565341797,105.32642333026256,0.0596754762812771,0.1372535954469375,0.0204,0.1372535954469375,0.0596754762812771,930.0,786.2267292203711,264.3516971444616,727.4462195298613,0.5178421956650291,950.0,2.510045973533548,5132.915021755644
3,1.0,925.0,35.0,1.02,0.5227352385310542,9.711126614204906,2.540749960267422,2490.931333595512,1302.0975848315268,0.9996,0.512280533760433,0.1792697146192586,0.4084194237351715,0.1553854729480586,0.3649814025990111,0.7734008263341827,0.3346551875673172,1.3546551875673174,1.082267702663626,0.062364324860196,0.1560719033870114,0.1950898792337642,0.077955406075245,0.0937075785268153,0.1171344731585192,7.152473267756759,12.126461680662572,0.0992816003250824,0.908745111237529,1.9512746124908604,0.3474856011377885,9.17824833977032,104.29944021752571,0.061959109086113,0.14250595089806,0.0204,0.14250595089806,0.061959109086113,905.0,763.9527098339046,259.38173344048334,705.8336597584043,0.512280533760433,925.0,2.540749960267422,4714.604980291115
4,1.0,900.0,35.0,1.02,0.516728768342937,9.966343514497424,2.593375741931612,2542.525237187855,1313.795934292914,0.9996,0.5063941929760784,0.1894554414622585,0.4265623409658584,0.1642561832115144,0.3812714975718117,0.8078338385376702,0.353711624673773,1.3737116246737728,1.0926614195348845,0.0632832797282875,0.1586847625298008,0.1983559531622509,0.0791040996603594,0.0954014828015132,0.1192518535018915,7.205286424639663,11.997104010165405,0.1004411852308482,0.9075452092327772,1.9739562851725283,0.351544148307969,9.109359131073456,106.54913835849624,0.0621653836473207,0.1429803823888377,0.0204,0.1429803823888377,0.0621653836473207,880.0000000000001,740.0964630132249,259.061333060371,683.6780568043498,0.5063941929760784,900.0,2.593375741931612,4354.000049618948
5,1.0,875.0,35.0,1.02,0.5102256542535595,10.275161897380896,2.6106414508677336,2559.452402811504,1305.8982767553443,0.9996,0.5000211411684884,0.1864899785789992,0.4213022126785591,0.1658876175937167,0.3844022123687077,0.8057044250472669,0.3523775961727159,1.3723775961727158,1.091935305500207,0.0677707666638459,0.1641164885036274,0.2051456106295342,0.0847134583298074,0.0963457218397814,0.1204321522997268,7.131908459501164,11.768302012994017,0.1017064241311573,0.9060364742243096,1.9991154727259268,0.3559724844590505,9.215977869053138,102.1243580362272,0.0660363587963803,0.1518836252316746,0.0204,0.1518836252316746,0.0660363587963803,855.0000000000001,718.9211502504218,249.45253657615456,662.1514523076005,0.5000211411684884,875.0,2.6106414508677336,3968.556597034295
6,1.0,850.0,35.0,1.02,0.5037897052049244,10.583972562288558,2.6492528277044936,2597.306693827935,1308.496373610352,0.9996,0.4937139111008259,0.190767469999647,0.4288839931885652,0.1716303949042573,0.3948305166320844,0.8237145098206496,0.3623978649039044,1.3823978649039046,1.0973839232801692,0.0707119840084364,0.1685700042885065,0.2107125053606331,0.0883899800105456,0.09785802028007,0.1223225253500875,7.124195051294625,11.588685991274913,0.1029867512513588,0.9045863157284684,2.024654314016002,0.3604536293797559,9.23279684888874,101.2595868942517,0.0682557651579502,0.1569882598632856,0.0204,0.1569882598632856,0.0682557651579502,830.0000000000001,696.3436491285822,245.1457660953841,640.3864613057028,0.4937139111008259,850.0,2.6492528277044936,3638.8085297183015
7,1.0,825.0,35.0,1.02,0.497052846368842,10.911942050392303,2.692020752428488,2639.236031792635,1311.839781841737,0.9996,0.4871117894414653,0.1958987596149621,0.4379314258902648,0.1781251986560149,0.4065351391295745,0.8444665650198393,0.374023958270977,1.394023958270977,1.1036901187614596,0.0737291910128918,0.173216541774445,0.2165206772180563,0.0921614887661148,0.0994873507615531,0.1243591884519414,7.121403688525966,11.40734609158358,0.104353628400463,0.9031041630050688,2.0520956824842336,0.3652376994016205,9.242186768305547,100.6511055359784,0.0704807356641357,0.1621056920275121,0.0204,0.1621056920275121,0.0704807356641357,805.0000000000001,673.6377024814593,241.1745745122973,618.5927835955118,0.4871117894414653,825.0,2.692020752428488,3339.613587515538
8,1.0,800.0,35.0,1.02,0.4902719387948717,11.250992961245007,2.748283692753145,2694.3957772089657,1320.9866415729548,0.9996,0.4804665000189743,0.2054915177950561,0.4547111380933351,0.1872348200945862,0.4228008099067877,0.8775119480001228,0.3927263378896424,1.4127263378896424,1.1137998881888609,0.0755473766660307,0.1770384019758574,0.2212980024698218,0.0944342208325384,0.1014910253098266,0.1268637816372833,7.12673648830819,11.250065509277526,0.1057572681719602,0.901618709467856,2.080478035327176,0.3701504386018609,9.200322087642924,101.79920741773412,0.0719667023880341,0.1655234154924786,0.0204,0.1655234154924786,0.0719667023880341,780.0000000000001,650.1810473747795,240.0,596.7097145283549,0.4804665000189743,800.0,2.748283692753145,3081.0304078615864
9,1.0,775.0,35.0,1.02,0.4823970709046737,11.634603197101509,2.8206260616441794,2765.319668278607,1333.9821080926845,0.9996,0.4727491294865802,0.2182548456742894,0.4767802896876908,0.2008377283064546,0.4465954816601828,0.9233757713478736,0.419092573980744,1.4390925739807443,1.1279809580839808,0.0767668088596831,0.1808079968322054,0.2260099960402568,0.0959585110746039,0.1040411879725222,0.1300514849656528,7.224462315355622,11.105321145123485,0.107428515021254,0.9000846134907857,2.114440699416191,0.3759998025743891,9.13079613564912,104.21029468987592,0.0727215363468168,0.1672595335976786,0.0204,0.1672595335976786,0.0727215363468168,755.0000000000001,626.3371972301572,240.0,574.8594893527867,0.4727491294865802,775.0,2.8206260616441794,2861.6062685751326
