,lat,alt,azi,rO,eta_cos,eta_blk,eta_att,eta_hbi,eta_tdi,eta_tdr,eta_BDR,eta_SF,Qmax_BDR,Qmax,eta_rcv,Prcv_abs
92,-40,80,5,1.318094758,0.809123293,0.993659987,0.972320839,0.980481235,0.908821953,0.965266814,0.820583588,0.608690957,4293.877937,2.465395811,0.838186638,19.16735582
93,-40,80,10,1.318094758,0.808762952,0.993529521,0.972320961,0.980349868,0.909063635,0.965295235,0.820684667,0.608769702,4505.915911,2.416336958,0.829087699,18.95928449
94,-40,80,15,1.318094758,0.808367268,0.993535401,0.97232085,0.980543039,0.908875482,0.965094556,0.820525733,0.608226448,4423.44808,2.409057103,0.831127808,19.00593698
95,-40,80,20,1.318094758,0.80792973,0.993492153,0.972320881,0.980640532,0.908455369,0.965186493,0.820244204,0.60770761,4391.54029,2.420690904,0.830500837,18.99159964
96,-40,80,25,1.318094758,0.807248666,0.99362421,0.972320694,0.980652496,0.908282662,0.965109144,0.820055097,0.607210015,4330.813957,2.418216595,0.834275063,19.07790729
97,-40,80,30,1.318094758,0.806530873,0.993465617,0.972320694,0.98037616,0.907814129,0.96541755,0.819734529,0.606414822,4547.829473,2.478520033,0.837688375,19.15596171
98,-40,80,45,1.318094758,0.803762603,0.99343496,0.972320919,0.98043778,0.907948131,0.965195245,0.819644684,0.604883235,4392.74011,2.422544422,0.830920309,19.00119198
99,-40,80,60,1.318094758,0.80017094,0.993667402,0.972320851,0.980119453,0.907886539,0.965181571,0.819355708,0.603022119,4403.836929,2.622926623,0.826545544,18.9011514
100,-40,80,75,1.318094758,0.796291521,0.993715189,0.972320864,0.98034432,0.908099799,0.96543296,0.819867789,0.601251217,4318.656428,2.540354844,0.831785485,19.02097652
101,-40,80,90,1.318094758,0.791698902,0.993740718,0.972320793,0.980215717,0.907471485,0.965073599,0.818986755,0.596921267,4311.311404,2.480682698,0.831174095,19.00699546
102,-40,80,105,1.318094758,0.78731244,0.993792548,0.972320813,0.979915946,0.907053344,0.965201983,0.818484525,0.59194688,4564.524021,2.471218794,0.830699705,18.99614727
103,-40,80,120,1.318094758,0.783188122,0.993593147,0.972320638,0.980267657,0.906696762,0.965155822,0.81831103,0.586350018,4277.292719,2.428046792,0.831435099,19.01296401
104,-40,90,0,1.318094758,0.796699013,0.995584564,0.972320858,0.980278981,0.908042053,0.965157957,0.819614621,0.598452134,4528.784575,2.471499326,0.832202874,19.03052121
105,-40,90,5,1.318094758,0.796877482,0.995488322,0.97232065,0.980339951,0.907084975,0.965113259,0.818800842,0.597958193,4697.51782,2.413378646,0.826129337,18.89163371
106,-40,90,10,1.318094758,0.796895395,0.99556119,0.972321005,0.980174214,0.908421956,0.965134692,0.819823809,0.598719285,4505.887945,2.426548236,0.83537348,19.10302552
107,-40,90,15,1.318094758,0.796761925,0.995509947,0.972320899,0.980085305,0.907719946,0.965008842,0.819026868,0.598226546,4358.203747,2.524245752,0.828794113,18.95257088
108,-40,90,20,1.318094758,0.796746473,0.995429477,0.972320902,0.980324368,0.908041793,0.965025978,0.819519281,0.598498896,4492.874097,2.429318004,0.833767406,19.06629837
109,-40,90,25,1.318094758,0.796769201,0.995638623,0.972320687,0.980723146,0.907406534,0.965292884,0.819457813,0.598408023,4491.101258,2.494133717,0.830218948,18.98515351
110,-40,90,30,1.318094758,0.796995007,0.995668951,0.972320974,0.980261895,0.908054114,0.96522442,0.819627083,0.599086734,4625.075745,2.468572644,0.829310736,18.96438482
111,-40,90,45,1.318094758,0.796757977,0.995587691,0.972320998,0.980240938,0.908229316,0.965168517,0.819745543,0.599283273,4587.700574,2.426952883,0.834671654,19.08697639
112,-40,90,60,1.318094758,0.79697946,0.995604145,0.972320896,0.980133991,0.908413988,0.965104078,0.819840355,0.600947612,4470.206482,2.353697352,0.832688572,19.04162799
113,-40,90,75,1.318094758,0.796822759,0.995629236,0.972320886,0.980199633,0.907589233,0.965167918,0.819176947,0.601441784,4313.137105,2.567849611,0.832058604,19.02722211
114,-40,90,90,1.318094758,0.796825849,0.995605809,0.972320936,0.980175298,0.907412986,0.965067425,0.818926697,0.601792199,4442.861246,2.6775248,0.82962003,18.97145766
115,-40,90,105,1.318094758,0.796743623,0.995541576,0.97232077,0.980289079,0.908253976,0.965121986,0.819819553,0.601952432,4239.393472,2.415719862,0.839681753,19.20154558
116,-40,90,120,1.318094758,0.796945886,0.995451229,0.972320841,0.98032963,0.908095134,0.965144826,0.819697749,0.6005493,4529.466302,2.519839776,0.830923092,19.0012556
