rcv_nom_power,zf,flux_avg,fzv,receiver_area,sf_power_sim,hb_rmax,n_hels,eta_rcv,eta_sf,eta_bdr,eta_tod,eta_StH,hb_surface_area,tod_surface_area,total_surface_area,heat_stored,rad_flux_avg,rad_flux_max,temp_part_max,tod_height,stg_height,stg_vol,land_prod,lcoh,lcoe
5.0,25.0,1.5,0.8742970557827074,4.016064257028113,6.022914126766576,7.731300009492333,2250.0,0.8306162134476613,0.3304721339798332,0.470874471542119,0.4913087330362252,0.2744955125762973,184.92067444770063,7.2994520994261,19376.620126547125,5.002730125895281,1.4997056175648773,2.431273318679005,1304.4329322560727,0.3864459633130025,3.4064988966097034,124.18656952988329,0.3787926705825101,38.94109894289687,105.16360302574654
7.0,25.0,1.5,0.8742970557827074,5.622489959839356,8.458992705429438,7.946598945280339,2580.0,0.8279714905405319,0.4047712298137432,0.582623528719549,0.6045643800210613,0.3351390384768091,196.827388538816,11.554063457106531,22206.49345199592,7.0038047987858985,1.5044922740370932,2.255434448363466,1299.470035688293,0.5410243486382037,3.8108094951265,173.86076596776263,0.4218241023509975,33.403027538975984,94.0874602179048
9.0,25.0,1.5,0.8742970557827074,7.228915662650602,10.879714015591356,8.157956773456362,2932.0,0.8274544392868396,0.4581041282521954,0.6672274351962141,0.6969488563419666,0.3790602945779068,208.88750883779144,16.392361393820003,25224.684670231607,9.002467660372316,1.505027105490138,1.9528993630461235,1294.4872513120845,0.695602733963405,4.143427563546898,223.4750921818473,0.4616936942215951,30.316922741278805,87.91525062251044
11.0,25.0,1.5,0.8742970557827074,8.835341365461847,13.295140661046393,8.514491891689087,3535.0,0.8277027881499668,0.464316599518468,0.6838490393225385,0.7167028023000792,0.3843161440057475,230.21062765678545,21.75193814260139,30392.786565799383,11.00442499399409,1.5047681930002508,1.9714585013429269,1294.1977729136922,0.8501811192886058,4.430251136871582,273.1711995774443,0.4182385695546576,30.211888698469664,87.70518253689215
13.0,25.0,1.5,0.8742970557827074,10.441767068273087,15.713936866021054,8.881315340073971,4274.0,0.827381051161675,0.4539010401155832,0.6777013285201219,0.7108670578585498,0.3755491196942088,254.1407734267683,27.58683597006835,36723.56120939684,13.001413602096695,1.5049116460150938,2.291165820260554,1302.555395685465,1.0047595046138071,4.6834880766806,322.7439645256909,0.3458121167880059,31.31434592391545,89.91009698778372
15.0,25.0,1.5,0.8742970557827074,12.048192771084334,18.104449989464847,9.273698496936133,5103.0,0.8286972106915294,0.4379963173889056,0.6603558899953494,0.6927970026486695,0.3629663265133478,283.66286885085697,33.86140551203367,43827.74347436288,15.003107207373803,1.5026693491255827,2.356903291427461,1287.7462297735062,1.1593378899390074,4.912466838443272,372.4335251922844,0.2966770030699565,32.63904075807303,92.55948665609888
17.0,25.0,1.5,0.8742970557827074,13.654618473895578,20.49765244465425,9.661051987875988,6037.0,0.829471575753552,0.4191733282761168,0.6388624456808153,0.6704845518764556,0.3476923611190516,317.1583098995512,40.54695698699038,51831.58206688653,17.00222007251601,1.5011516055055618,2.43847107432718,1277.157222177497,1.3139162752642093,5.121624943460232,422.0590221864156,0.2512547963012246,34.41849720209072,96.11839954413426
19.0,25.0,1.5,0.8742970557827074,15.261044176706822,22.962754602212677,10.108979592214183,7153.0,0.8274316918262266,0.3963204217485288,0.6097299547151086,0.6406330396318672,0.3279280770726688,353.93673336499893,47.61975877555638,61390.89569214055,19.000110889499304,1.5046647094607783,2.3512716338773467,1285.1197744718904,1.4684946605894098,5.314853190095014,471.6541833509427,0.2019162206336907,37.21813034788472,101.71766583572224
21.0,25.0,1.5,0.8742970557827074,16.867469879518076,25.37965942425572,10.5483983843531,8413.0,0.8274440026907685,0.3724308024680856,0.5792473959524304,0.6097517185986951,0.3081656339195277,389.3447558050316,55.05975826560924,72177.00771407064,21.00024698093464,1.50465123729516,2.418846572184439,1279.4116384510537,1.6230730459146112,5.495164464992917,521.3050806684972,0.1857727985902176,39.23051345930046,105.74243205855372
23.0,25.0,1.5,0.8742970557827074,18.473895582329316,27.249315306455507,10.643409940500982,8907.0,0.844344020868682,0.3776894325045149,0.58810050584147,0.6197942615676625,0.3188998140804728,397.054179513284,62.84972123415766,76404.54870074743,22.51440891316449,1.4433864789960744,2.4451150536920414,1279.9011898252195,1.7776514312398115,5.664969417751403,571.1400059334503,0.203356097051147,37.56799126986612,102.41738767968506
25.0,25.0,1.5,0.8742970557827074,20.080321285140563,28.150347208206263,10.640988907715249,8924.0,0.8447154286200566,0.3895222128520099,0.60700988637321,0.6403766545747661,0.3290354229863184,396.85965705288135,70.97462879895845,76557.42788585184,23.20877176220448,1.368267696549494,2.3025599803426644,1274.260732363041,1.9322298165650127,5.727572848264955,590.2849867943615,0.2101759913340227,36.67967822520453,100.64076159036188
27.0,25.0,1.5,0.8742970557827074,21.686746987951807,28.873049967610847,10.640988907715249,8924.0,0.8391327831414747,0.3995224013397548,0.6233979859233607,0.6581396312914461,0.3352523445635937,396.85965705288135,79.42124066994339,76565.87449772282,23.66204112197773,1.3002507221878408,2.181814036928062,1269.1307423992823,2.0868082018902143,5.763420997773591,601.4380579070001,0.2141471371872278,36.22707025870681,99.73554565736644
29.0,25.0,1.5,0.8742970557827074,23.293172690763058,29.53147515944044,10.640988907715249,8924.0,0.8351861933442302,0.4086331677477871,0.6383835720452643,0.6743653470496951,0.3412847798454685,396.85965705288135,88.1777700661684,76574.63102711905,24.10085891276088,1.2388552556224863,2.11121247815126,1266.412002479124,2.2413865872154157,5.797784160020526,612.2601631635744,0.2180004398317249,35.80770656218879,98.8968182643304
